epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,455.498,3.01005,2.41822,1.83914,0.27431,0.40402,0.42024,0.13263,2.75575,2.63677,2.05316,0.000952714,0.000952714,0.000952714
103,459.669,2.79332,2.42831,1.89126,0.27431,0.40402,0.42024,0.13263,2.75575,2.63677,2.05316,0.000947999,0.000947999,0.000947999
104,463.848,2.8662,2.74518,2.03484,0.27431,0.40402,0.42024,0.13263,2.75575,2.63677,2.05316,0.000943283,0.000943283,0.000943283
105,467.681,2.82951,2.68564,1.96288,0.27431,0.40402,0.42024,0.13263,2.75575,2.63677,2.05316,0.000938567,0.000938567,0.000938567
106,471.693,2.96724,2.40355,1.82597,0.28596,0.4,0.43459,0.14525,2.64804,2.57907,1.99291,0.000933851,0.000933851,0.000933851
107,475.696,2.66632,2.35457,1.83862,0.28596,0.4,0.43459,0.14525,2.64804,2.57907,1.99291,0.000929136,0.000929136,0.000929136
108,479.686,2.76704,2.44529,1.80192,0.28596,0.4,0.43459,0.14525,2.64804,2.57907,1.99291,0.00092442,0.00092442,0.00092442
109,483.479,2.76201,2.47628,1.99283,0.28596,0.4,0.43459,0.14525,2.64804,2.57907,1.99291,0.000919704,0.000919704,0.000919704
110,487.628,2.72645,2.26326,1.81375,0.35889,0.5,0.44531,0.16457,2.58943,2.51836,1.94832,0.000914989,0.000914989,0.000914989
111,491.676,2.79195,2.34202,1.81941,0.35889,0.5,0.44531,0.16457,2.58943,2.51836,1.94832,0.000910273,0.000910273,0.000910273
112,495.492,2.68154,2.29079,1.8466,0.35889,0.5,0.44531,0.16457,2.58943,2.51836,1.94832,0.000905557,0.000905557,0.000905557
113,499.239,2.89492,2.49127,1.79618,0.35889,0.5,0.44531,0.16457,2.58943,2.51836,1.94832,0.000900842,0.000900842,0.000900842
114,503.114,2.51939,2.30532,1.83408,0.34493,0.56667,0.47675,0.19109,2.46922,2.51114,1.91064,0.000896126,0.000896126,0.000896126
115,507.077,2.81734,2.44444,1.76696,0.34493,0.56667,0.47675,0.19109,2.46922,2.51114,1.91064,0.00089141,0.00089141,0.00089141
116,511.605,2.68992,2.387,1.68457,0.34493,0.56667,0.47675,0.19109,2.46922,2.51114,1.91064,0.000886694,0.000886694,0.000886694
117,515.537,2.64142,2.3502,1.67464,0.34493,0.56667,0.47675,0.19109,2.46922,2.51114,1.91064,0.000881979,0.000881979,0.000881979
118,519.38,2.5125,2.66794,1.6753,0.43305,0.5408,0.48514,0.19338,2.41473,2.45051,1.88405,0.000877263,0.000877263,0.000877263
119,523.403,2.72032,2.35724,1.7947,0.43305,0.5408,0.48514,0.19338,2.41473,2.45051,1.88405,0.000872547,0.000872547,0.000872547
120,527.394,2.78983,2.97519,1.83948,0.43305,0.5408,0.48514,0.19338,2.41473,2.45051,1.88405,0.000867832,0.000867832,0.000867832
121,531.461,2.65121,2.34562,1.65793,0.43305,0.5408,0.48514,0.19338,2.41473,2.45051,1.88405,0.000863116,0.000863116,0.000863116
122,535.224,2.53491,2.30139,1.66323,0.43705,0.56667,0.5351,0.22347,2.33939,2.42385,1.86098,0.0008584,0.0008584,0.0008584
123,539.224,2.53023,2.27541,1.78737,0.43705,0.56667,0.5351,0.22347,2.33939,2.42385,1.86098,0.000853685,0.000853685,0.000853685
124,543.175,2.62735,2.39276,1.61482,0.43705,0.56667,0.5351,0.22347,2.33939,2.42385,1.86098,0.000848969,0.000848969,0.000848969
125,547.323,2.44832,2.26697,1.75765,0.43705,0.56667,0.5351,0.22347,2.33939,2.42385,1.86098,0.000844253,0.000844253,0.000844253
126,551.156,2.37763,2.34301,1.58026,0.54526,0.63333,0.63169,0.26448,2.27504,2.37614,1.81811,0.000839537,0.000839537,0.000839537
127,555.097,2.38662,2.21044,1.74614,0.54526,0.63333,0.63169,0.26448,2.27504,2.37614,1.81811,0.000834822,0.000834822,0.000834822
128,559.012,2.52708,2.37866,1.79424,0.54526,0.63333,0.63169,0.26448,2.27504,2.37614,1.81811,0.000830106,0.000830106,0.000830106
129,562.803,2.37415,2.43649,1.68963,0.54526,0.63333,0.63169,0.26448,2.27504,2.37614,1.81811,0.00082539,0.00082539,0.00082539
130,566.586,2.41321,2.18494,1.66641,0.54848,0.57018,0.66226,0.27889,2.24438,2.4968,1.82253,0.000820675,0.000820675,0.000820675
131,570.632,2.30501,2.10015,1.70712,0.54848,0.57018,0.66226,0.27889,2.24438,2.4968,1.82253,0.000815959,0.000815959,0.000815959
132,574.622,2.57041,2.30934,1.83493,0.54848,0.57018,0.66226,0.27889,2.24438,2.4968,1.82253,0.000811243,0.000811243,0.000811243
133,578.544,2.31233,2.05249,1.62748,0.54848,0.57018,0.66226,0.27889,2.24438,2.4968,1.82253,0.000806528,0.000806528,0.000806528
134,582.36,2.12004,1.9898,1.54628,0.5285,0.69046,0.64867,0.27104,2.22899,2.38738,1.78281,0.000801812,0.000801812,0.000801812
135,586.407,2.51911,2.11705,1.69479,0.5285,0.69046,0.64867,0.27104,2.22899,2.38738,1.78281,0.000797096,0.000797096,0.000797096
136,590.329,2.10587,1.89632,1.66821,0.5285,0.69046,0.64867,0.27104,2.22899,2.38738,1.78281,0.00079238,0.00079238,0.00079238
137,594.178,2.5484,2.22897,1.54477,0.5285,0.69046,0.64867,0.27104,2.22899,2.38738,1.78281,0.000787665,0.000787665,0.000787665
138,598.109,2.37133,2.54636,1.57296,0.57342,0.6824,0.69764,0.29412,2.10978,2.11864,1.70582,0.000782949,0.000782949,0.000782949
139,602.12,2.30054,2.08733,1.54877,0.57342,0.6824,0.69764,0.29412,2.10978,2.11864,1.70582,0.000778233,0.000778233,0.000778233
140,606.283,2.26705,2.06081,1.65374,0.57342,0.6824,0.69764,0.29412,2.10978,2.11864,1.70582,0.000773518,0.000773518,0.000773518
141,610.235,2.35512,2.01525,1.75463,0.57342,0.6824,0.69764,0.29412,2.10978,2.11864,1.70582,0.000768802,0.000768802,0.000768802
142,614.099,2.36071,2.16894,1.37843,0.51815,0.73614,0.73853,0.30822,2.07097,2.0326,1.68158,0.000764086,0.000764086,0.000764086
143,617.999,2.34587,2.07276,1.64313,0.51815,0.73614,0.73853,0.30822,2.07097,2.0326,1.68158,0.000759371,0.000759371,0.000759371
144,622.052,2.38034,2.15848,1.48666,0.51815,0.73614,0.73853,0.30822,2.07097,2.0326,1.68158,0.000754655,0.000754655,0.000754655
145,626.033,2.18864,2.0282,1.55865,0.51815,0.73614,0.73853,0.30822,2.07097,2.0326,1.68158,0.000749939,0.000749939,0.000749939
146,629.94,2.16299,2.01798,1.67383,0.39667,0.73333,0.72869,0.29869,2.04593,2.06395,1.6629,0.000745223,0.000745223,0.000745223
147,633.867,2.43502,1.97669,1.55933,0.39667,0.73333,0.72869,0.29869,2.04593,2.06395,1.6629,0.000740508,0.000740508,0.000740508
148,637.886,2.22319,2.00159,1.68026,0.39667,0.73333,0.72869,0.29869,2.04593,2.06395,1.6629,0.000735792,0.000735792,0.000735792
149,641.963,2.40418,2.04021,1.4771,0.39667,0.73333,0.72869,0.29869,2.04593,2.06395,1.6629,0.000731076,0.000731076,0.000731076
150,646.011,2.05242,1.97086,1.6242,0.44677,0.72907,0.718,0.31319,2.05816,2.09429,1.65142,0.000726361,0.000726361,0.000726361
151,649.797,2.21241,2.0052,1.45355,0.44677,0.72907,0.718,0.31319,2.05816,2.09429,1.65142,0.000721645,0.000721645,0.000721645
152,653.823,2.55967,2.15788,1.52888,0.44677,0.72907,0.718,0.31319,2.05816,2.09429,1.65142,0.000716929,0.000716929,0.000716929
153,657.858,2.29352,2.02086,1.53513,0.44677,0.72907,0.718,0.31319,2.05816,2.09429,1.65142,0.000712214,0.000712214,0.000712214
154,661.872,2.19813,1.94304,1.47087,0.47448,0.68556,0.73456,0.32077,2.0285,2.04261,1.62721,0.000707498,0.000707498,0.000707498
155,665.79,2.21962,1.88772,1.50501,0.47448,0.68556,0.73456,0.32077,2.0285,2.04261,1.62721,0.000702782,0.000702782,0.000702782
156,669.802,2.14166,1.97506,1.55138,0.47448,0.68556,0.73456,0.32077,2.0285,2.04261,1.62721,0.000698066,0.000698066,0.000698066
157,673.752,2.15733,1.92299,1.41605,0.47448,0.68556,0.73456,0.32077,2.0285,2.04261,1.62721,0.000693351,0.000693351,0.000693351
158,677.625,2.19175,2.01762,1.50577,0.57128,0.65923,0.77292,0.3453,1.94413,2.01093,1.59343,0.000688635,0.000688635,0.000688635
159,681.273,2.02163,1.82121,1.45737,0.57128,0.65923,0.77292,0.3453,1.94413,2.01093,1.59343,0.000683919,0.000683919,0.000683919
160,685.136,2.1712,1.82509,1.49337,0.57128,0.65923,0.77292,0.3453,1.94413,2.01093,1.59343,0.000679204,0.000679204,0.000679204
161,689.086,2.1593,1.96696,1.65359,0.57128,0.65923,0.77292,0.3453,1.94413,2.01093,1.59343,0.000674488,0.000674488,0.000674488
162,692.985,2.20452,1.94501,1.3795,0.63767,0.66667,0.73803,0.35604,1.89585,1.96219,1.56296,0.000669772,0.000669772,0.000669772
163,696.844,2.04006,1.73786,1.42682,0.63767,0.66667,0.73803,0.35604,1.89585,1.96219,1.56296,0.000665057,0.000665057,0.000665057
164,700.695,2.26462,2.01245,1.68978,0.63767,0.66667,0.73803,0.35604,1.89585,1.96219,1.56296,0.000660341,0.000660341,0.000660341
165,704.871,2.14909,1.94697,1.59182,0.63767,0.66667,0.73803,0.35604,1.89585,1.96219,1.56296,0.000655625,0.000655625,0.000655625
166,708.754,2.15263,1.81447,1.38961,0.63386,0.63333,0.74613,0.37463,1.92343,1.98927,1.56233,0.000650909,0.000650909,0.000650909
167,712.535,2.03252,1.92621,1.49972,0.63386,0.63333,0.74613,0.37463,1.92343,1.98927,1.56233,0.000646194,0.000646194,0.000646194
168,716.318,2.035,1.90912,1.44999,0.63386,0.63333,0.74613,0.37463,1.92343,1.98927,1.56233,0.000641478,0.000641478,0.000641478
169,720.209,1.97598,1.87182,1.40492,0.63386,0.63333,0.74613,0.37463,1.92343,1.98927,1.56233,0.000636762,0.000636762,0.000636762
170,724.12,1.96755,1.9499,1.5462,0.6189,0.68789,0.76984,0.37391,1.93452,2.03839,1.55683,0.000632047,0.000632047,0.000632047
171,728.112,2.22778,1.86151,1.40692,0.6189,0.68789,0.76984,0.37391,1.93452,2.03839,1.55683,0.000627331,0.000627331,0.000627331
172,731.963,2.12641,1.84458,1.36964,0.6189,0.68789,0.76984,0.37391,1.93452,2.03839,1.55683,0.000622615,0.000622615,0.000622615
173,735.946,2.07069,1.79432,1.29388,0.6189,0.68789,0.76984,0.37391,1.93452,2.03839,1.55683,0.0006179,0.0006179,0.0006179
174,739.856,1.99344,1.71273,1.37023,0.61633,0.69591,0.79153,0.39753,1.86825,2.00887,1.52461,0.000613184,0.000613184,0.000613184
175,743.681,2.00631,1.93462,1.55001,0.61633,0.69591,0.79153,0.39753,1.86825,2.00887,1.52461,0.000608468,0.000608468,0.000608468
176,747.557,2.12914,2.10249,1.67959,0.61633,0.69591,0.79153,0.39753,1.86825,2.00887,1.52461,0.000603752,0.000603752,0.000603752
177,751.556,2.09366,1.83497,1.50273,0.61633,0.69591,0.79153,0.39753,1.86825,2.00887,1.52461,0.000599037,0.000599037,0.000599037
178,755.43,1.93864,1.79842,1.44378,0.79897,0.73333,0.85191,0.42305,1.86659,1.84668,1.48104,0.000594321,0.000594321,0.000594321
179,759.43,2.04687,1.8,1.38268,0.79897,0.73333,0.85191,0.42305,1.86659,1.84668,1.48104,0.000589605,0.000589605,0.000589605
180,763.474,1.91702,1.73389,1.41628,0.79897,0.73333,0.85191,0.42305,1.86659,1.84668,1.48104,0.00058489,0.00058489,0.00058489
181,767.444,2.08105,1.81986,1.50731,0.79897,0.73333,0.85191,0.42305,1.86659,1.84668,1.48104,0.000580174,0.000580174,0.000580174
182,771.344,2.20692,1.81068,1.409,0.82877,0.76667,0.85886,0.4071,1.84795,1.70721,1.45675,0.000575458,0.000575458,0.000575458
183,775.043,1.88702,1.70019,1.40728,0.82877,0.76667,0.85886,0.4071,1.84795,1.70721,1.45675,0.000570743,0.000570743,0.000570743
